observed_at,source,season,date,home_name,away_name,home,away,home_goals,away_goals,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners
2026-08-20T1514Z,football-data,2324,2024-04-12,Betis,Celta,betis,celta,2,1,,,15,12,3,5,6,5
2026-08-20T1514Z,football-data,2324,2024-04-13,Ath Madrid,Girona,atletico,,3,1,,,17,12,4,5,2,0
2026-08-20T1514Z,football-data,2324,2024-04-13,Vallecano,Getafe,rayo-vallecano,getafe,0,0,,,11,7,2,0,3,0
2026-08-20T1514Z,football-data,2324,2024-04-13,Mallorca,Real Madrid,,real-madrid,0,1,,,6,16,2,9,4,2
2026-08-20T1514Z,football-data,2324,2024-04-13,Cadiz,Barcelona,,barcelona,0,1,,,14,12,3,2,8,4
2026-08-20T1514Z,football-data,2324,2024-04-14,Las Palmas,Sevilla,,sevilla,0,2,,,5,10,2,3,6,2
2026-08-20T1514Z,football-data,2324,2024-04-14,Granada,Alaves,,alaves,2,0,,,9,8,3,3,1,5
2026-08-20T1514Z,football-data,2324,2024-04-14,Ath Bilbao,Villarreal,athletic,villarreal,1,1,,,13,10,6,2,3,1
2026-08-20T1514Z,football-data,2324,2024-04-14,Sociedad,Almeria,real-sociedad,,2,2,,,17,7,4,3,5,1
2026-08-20T1514Z,football-data,2324,2024-04-15,Osasuna,Valencia,osasuna,valencia,0,1,,,13,4,2,3,4,1
2026-08-20T1514Z,football-data,2324,2024-04-19,Ath Bilbao,Granada,athletic,,1,1,,,17,5,6,0,11,4
2026-08-20T1514Z,football-data,2324,2024-04-20,Celta,Las Palmas,celta,,4,1,,,21,9,13,4,8,4
2026-08-20T1514Z,football-data,2324,2024-04-20,Vallecano,Osasuna,rayo-vallecano,osasuna,2,1,,,17,6,6,2,5,1
2026-08-20T1514Z,football-data,2324,2024-04-20,Valencia,Betis,valencia,betis,1,2,,,8,12,5,6,7,6
2026-08-20T1514Z,football-data,2324,2024-04-20,Girona,Cadiz,,,4,1,,,10,12,5,5,2,4
2026-08-20T1514Z,football-data,2324,2024-04-21,Getafe,Sociedad,getafe,real-sociedad,1,1,,,6,7,4,3,0,4
