observed_at,team_slug,player_name,player_slug,role,start_pct,status
2026-08-11T1439Z,getafe,Sebastián Boselli,,sub,50,ok
2026-08-11T1439Z,getafe,Borja Mayoral,,sub,40,ok
2026-08-11T1439Z,getafe,Saba Sazonov,,sub,30,ok
2026-08-11T1439Z,getafe,Juan Berrocal,,sub,30,ok
2026-08-11T1439Z,getafe,Jean Ives Valou,,sub,30,ok
2026-08-11T1439Z,getafe,Álex Sancris,,sub,20,ok
2026-08-11T1439Z,getafe,Ismael Bekhoucha,,sub,20,ok
2026-08-11T1439Z,getafe,Javi Muñoz,,sub,10,ok
2026-08-11T1439Z,getafe,Jiri Letácek,,sub,5,ok
2026-08-11T1439Z,getafe,Yvan Neyou,,sub,0,ok
2026-08-11T1439Z,getafe,Christantus Uche,,sub,0,ok
2026-08-11T1439Z,getafe,Juanmi Jiménez,,sub,0,ok
2026-08-11T1439Z,levante,Hugo Sotelo,,starter,50,ok
2026-08-11T1439Z,levante,Mathew Ryan,,starter,90,ok
2026-08-11T1439Z,levante,Kareem Tunde,,starter,60,ok
2026-08-11T1439Z,levante,Enzo Bardelli,,starter,50,ok
2026-08-11T1439Z,levante,Iván Romero,,starter,80,ok
2026-08-11T1439Z,levante,Jon Ander Olasagasti,,starter,90,ok
2026-08-11T1439Z,levante,Adrián de la Fuente,,starter,90,ok
2026-08-11T1439Z,levante,Manu Sánchez,,starter,80,ok
2026-08-11T1439Z,levante,Aissa Mandi,,starter,80,ok
2026-08-11T1439Z,levante,Carlos Álvarez,,starter,60,ok
2026-08-11T1439Z,levante,Nacho Pérez,,starter,50,ok
2026-08-11T1439Z,levante,Paco Cortés,,sub,50,ok
2026-08-11T1439Z,levante,Karl Etta Eyong,,sub,50,ok
2026-08-11T1439Z,levante,Jeremy Toljan,,sub,50,ok
2026-08-11T1439Z,levante,Víctor García,,sub,40,ok
2026-08-11T1439Z,levante,Oriol Rey,,sub,40,ok
2026-08-11T1439Z,levante,Kervin Arriaga,,sub,30,ok
2026-08-11T1439Z,levante,Yanis Musuayi,,sub,20,ok
2026-08-11T1439Z,levante,Dani Requena,,sub,10,ok
2026-08-11T1439Z,levante,Tai Abed,,sub,10,ok
2026-08-11T1439Z,levante,Jorge Cabello,,sub,10,ok
2026-08-11T1439Z,levante,Pablo Campos,,sub,10,ok
2026-08-11T1439Z,levante,Alejandro Primo,,sub,0,ok
2026-08-11T1439Z,levante,Dani Martín,,sub,0,ok
2026-08-11T1439Z,levante,Roger Brugué,,sub,0,ok
2026-08-11T1439Z,malaga,Chupete,,starter,70,ok
2026-08-11T1439Z,malaga,Alfonso Herrero,,starter,80,ok
2026-08-11T1439Z,malaga,Joaquín Muñoz,,starter,60,ok
2026-08-11T1439Z,malaga,David Larrubia,,starter,80,ok
2026-08-11T1439Z,malaga,Ramón Enríquez,,starter,70,ok
2026-08-11T1439Z,malaga,Dani Lorenzo,,starter,80,ok
2026-08-11T1439Z,malaga,Izan Merino,,starter,70,ok
2026-08-11T1439Z,malaga,Carlos Puga,,starter,70,ok
2026-08-11T1439Z,malaga,Einar Galilea,,starter,80,ok
2026-08-11T1439Z,malaga,Rafa Rodríguez,,starter,50,ok
2026-08-11T1439Z,malaga,José Salinas,,starter,50,ok
2026-08-11T1439Z,malaga,Rafa Garrido,,sub,50,ok
2026-08-11T1439Z,malaga,Angel Recio,,sub,40,ok
2026-08-11T1439Z,malaga,Álex Pastor,,sub,40,ok
2026-08-11T1439Z,malaga,Juan Cruz,,sub,40,ok
2026-08-11T1439Z,malaga,Adrián Niño,,sub,30,ok
2026-08-11T1439Z,malaga,Dani Sánchez,,sub,30,ok
2026-08-11T1439Z,malaga,Julen Lobete,,sub,20,ok
2026-08-11T1439Z,malaga,Eneko Jauregi,,sub,20,ok
2026-08-11T1439Z,malaga,Haitam Abaida,,sub,20,ok
2026-08-11T1439Z,malaga,Juanpe Jiménez,,sub,20,ok
2026-08-11T1439Z,malaga,Carlos López,,sub,20,ok
2026-08-11T1439Z,malaga,Pablo Arriaza,,sub,10,ok
2026-08-11T1439Z,malaga,Aarón Ochoa,,sub,0,ok
2026-08-11T1439Z,malaga,Diego Murillo,,sub,0,ok
2026-08-11T1439Z,malaga,Carlos Dotor,,sub,0,ok
2026-08-11T1439Z,malaga,Fernando Calero,,sub,0,ok
2026-08-11T1439Z,osasuna,Alejandro Catena,,starter,80,ok
2026-08-11T1439Z,osasuna,Raul Moro,,starter,50,ok
2026-08-11T1439Z,osasuna,Iñigo Arguibide,,starter,60,ok
2026-08-11T1439Z,osasuna,Ante Budimir,,starter,90,ok
2026-08-11T1439Z,osasuna,Rubén García,,starter,70,ok
2026-08-11T1439Z,osasuna,Aimar Oroz,,starter,70,ok
2026-08-11T1439Z,osasuna,Jon Moncayola,,starter,90,ok
2026-08-11T1439Z,osasuna,Iker Muñoz,,starter,50,ok
2026-08-11T1439Z,osasuna,Boyomo,,starter,70,ok
2026-08-11T1439Z,osasuna,Abel Bretones,,starter,90,ok
2026-08-11T1439Z,osasuna,Sergio Herrera,,starter,70,ok
2026-08-11T1439Z,osasuna,Lucas Torró,,sub,50,ok
2026-08-11T1439Z,osasuna,Jorge Herrando,,sub,50,ok
2026-08-11T1439Z,osasuna,Jonathan Dubasin,,sub,40,ok
2026-08-11T1439Z,osasuna,Valentin Rosier,,sub,40,ok
2026-08-11T1439Z,osasuna,Moi Gómez,,sub,30,ok
2026-08-11T1439Z,osasuna,Kike Barja,,sub,30,ok
2026-08-11T1439Z,osasuna,Raúl García,,sub,30,ok
2026-08-11T1439Z,osasuna,Aitor Fernández,,sub,30,ok
2026-08-11T1439Z,osasuna,Asier Osambela,,sub,10,ok
2026-08-11T1439Z,osasuna,Iker Benito,,sub,0,ok
2026-08-11T1439Z,racing,Sergio Canales,,starter,80,ok
2026-08-11T1439Z,racing,Simon Eriksson,,starter,60,ok
2026-08-11T1439Z,racing,Asier Villalibre,,starter,70,ok
2026-08-11T1439Z,racing,Andrés Martín,,starter,80,ok
2026-08-11T1439Z,racing,Maguette Gueye,,starter,80,ok
2026-08-11T1439Z,racing,Iñigo Vicente,,starter,90,ok
2026-08-11T1439Z,racing,Gustavo Puerta,,starter,80,ok
2026-08-11T1439Z,racing,Jorge Salinas,,starter,90,ok
2026-08-11T1439Z,racing,Pedro Felipe,,starter,50,ok
2026-08-11T1439Z,racing,Facundo González,,starter,70,ok
2026-08-11T1439Z,racing,Álvaro Mantilla,,starter,80,ok
2026-08-11T1439Z,racing,Manu Hernando,,sub,50,ok
2026-08-11T1439Z,racing,Julen Agirrezabala,,sub,40,ok
2026-08-11T1439Z,racing,Íñigo Sainz-Maza,,sub,40,ok
2026-08-11T1439Z,racing,Pablo Ramón,,sub,30,ok
2026-08-11T1439Z,racing,Juan Carlos Arana,,sub,30,ok
2026-08-11T1439Z,racing,Yassir Zabiri,,sub,30,ok
2026-08-11T1439Z,racing,Sergio Martínez,,sub,30,ok
2026-08-11T1439Z,racing,Giorgi Guliashvili,,sub,20,ok
2026-08-11T1439Z,racing,Laro Gómez,,sub,0,ok
2026-08-11T1439Z,rayo-vallecano,Óscar Valentín,,starter,60,ok
2026-08-11T1439Z,rayo-vallecano,Sergio Camello,,starter,50,ok
2026-08-11T1439Z,rayo-vallecano,Augusto Batalla,,starter,95,ok
2026-08-11T1439Z,rayo-vallecano,Jorge de Frutos,,starter,90,ok
2026-08-11T1439Z,rayo-vallecano,Isi Palazón,,starter,80,ok
2026-08-11T1439Z,rayo-vallecano,Unai López,,starter,70,ok
2026-08-11T1439Z,rayo-vallecano,Pelayo Fernández,,starter,50,ok
2026-08-11T1439Z,rayo-vallecano,Florian Lejeune,,starter,90,ok
2026-08-11T1439Z,rayo-vallecano,Iván Balliu,,starter,60,ok
2026-08-11T1439Z,rayo-vallecano,Andrei Ratiu,,starter,90,ok
2026-08-11T1439Z,rayo-vallecano,Álvaro García,,starter,80,ok
2026-08-11T1439Z,rayo-vallecano,Pedro Díaz,,sub,50,ok
2026-08-11T1439Z,rayo-vallecano,Alemão,,sub,50,ok
2026-08-11T1439Z,rayo-vallecano,Pathé Ciss,,sub,40,ok
2026-08-11T1439Z,rayo-vallecano,Jozhua Vertrouwd,,sub,40,ok
2026-08-11T1439Z,rayo-vallecano,Fran Pérez,,sub,30,ok
2026-08-11T1439Z,rayo-vallecano,Randy Nteka,,sub,30,ok
2026-08-11T1439Z,rayo-vallecano,Marash Kumbulla,,sub,30,ok
2026-08-11T1439Z,rayo-vallecano,Nobel Mendy,,sub,10,ok
2026-08-11T1439Z,rayo-vallecano,Dani Cárdenas,,sub,5,ok
2026-08-11T1439Z,rayo-vallecano,Raúl De Tomás,,sub,0,ok
2026-08-11T1439Z,rayo-vallecano,Pep Chavarría,,sub,0,ok
2026-08-11T1439Z,rayo-vallecano,Luiz Felipe,,sub,0,ok
2026-08-11T1439Z,real-madrid,Kylian Mbappé,,starter,70,ok
2026-08-11T1439Z,real-madrid,Arda Güler,,starter,60,ok
2026-08-11T1439Z,real-madrid,Dean Huijsen,,starter,70,ok
2026-08-11T1439Z,real-madrid,Ibrahima Konaté,,starter,50,ok
2026-08-11T1439Z,real-madrid,Denzel Dumfries,,starter,50,ok
2026-08-11T1439Z,real-madrid,Bernardo Silva,,starter,60,ok
2026-08-11T1439Z,real-madrid,Federico Valverde,,starter,90,ok
2026-08-11T1439Z,real-madrid,Jude Bellingham,,starter,60,ok
2026-08-11T1439Z,real-madrid,Vinicius Junior,,starter,90,ok
2026-08-11T1439Z,real-madrid,Thibaut Courtois,,starter,70,ok
2026-08-11T1439Z,real-madrid,Marc Cucurella,,starter,70,ok
2026-08-11T1439Z,real-madrid,Antonio Rüdiger,,sub,50,ok
2026-08-11T1439Z,real-madrid,Trent Alexander-Arnold,,sub,50,ok
2026-08-11T1439Z,real-madrid,Yan Diomande,,sub,50,ok
2026-08-11T1439Z,real-madrid,Aurélien Tchouaméni,,sub,50,ok
2026-08-11T1439Z,real-madrid,Eduardo Camavinga,,sub,30,ok
2026-08-11T1439Z,real-madrid,Brahim Díaz,,sub,30,ok
2026-08-11T1439Z,real-madrid,Carlos Espí,,sub,30,ok
2026-08-11T1439Z,real-madrid,Álvaro F. Carreras,,sub,30,ok
2026-08-11T1439Z,real-madrid,Andriy Lunin,,sub,30,ok
2026-08-11T1439Z,real-madrid,Endrick,,sub,10,ok
2026-08-11T1439Z,real-madrid,Ferland Mendy,,sub,0,ok
2026-08-11T1439Z,real-madrid,Raúl Asencio,,sub,0,ok
2026-08-11T1439Z,real-madrid,Éder Militão,,sub,0,ok
2026-08-11T1439Z,real-madrid,Thiago Pitarch,,sub,0,ok
2026-08-11T1439Z,real-madrid,Rodrygo Goes,,sub,0,ok
