observed_at,name,position,team_id,team,value,delta_1d,delta_pct_1d,slug
2026-08-11T1439Z,angel recio,defensa,11,Málaga,752810,0.0,0.0,ficha
2026-08-11T1439Z,david mella,mediocampista,6,Deportivo,3183254,13240.0,0.4176637705701,ficha
2026-08-11T1439Z,dani sanchez,defensa,11,Málaga,801049,-14588.0,-1.7885407356459,ficha
2026-08-11T1439Z,einar galilea,defensa,11,Málaga,3986913,-135824.0,-3.2945104186855,ficha
2026-08-11T1439Z,rafa garrido,defensa,11,Málaga,5018744,0.0,0.0,ficha
2026-08-11T1439Z,diego murillo,defensa,11,Málaga,2348219,-74660.0,-3.0814580505258,ficha
2026-08-11T1439Z,carlos puga,defensa,11,Málaga,5450597,-76464.0,-1.3834477310817,ficha
2026-08-11T1439Z,andres cespedes,portero,11,Málaga,401498,0.0,0.0,ficha
2026-08-11T1439Z,carlos lopez,portero,11,Málaga,396001,-1802.0,-0.45298803679208,ficha
2026-08-11T1439Z,alfonso herrero,portero,11,Málaga,7644866,164415.0,2.197928975138,ficha
2026-08-11T1439Z,abiel osorio,delantero,21,Elche,1405425,0.0,0.0,ficha
2026-08-11T1439Z,zakaria eddahchouri,delantero,6,Deportivo,2000338,-30460.0,-1.4999029937985,ficha
2026-08-11T1439Z,bil nsongo,delantero,6,Deportivo,6524473,0.0,0.0,ficha
2026-08-11T1439Z,luismi cruz,delantero,6,Deportivo,5910622,-7831.0,-0.13231498163456,ficha
2026-08-11T1439Z,charlie patino,mediocampista,6,Deportivo,544059,-7971.0,-1.443943263953,ficha
2026-08-11T1439Z,mario soriano,mediocampista,6,Deportivo,24563430,352360.0,1.4553673175122,ficha
2026-08-11T1439Z,jose angel jurado,mediocampista,6,Deportivo,1129408,-27879.0,-2.408996212694,ficha
2026-08-11T1439Z,eric puerto,portero,6,Deportivo,368682,-664.0,-0.17977722785681,ficha
2026-08-11T1439Z,lucas noubi,defensa,6,Deportivo,11373882,159957.0,1.4264140343368,ficha
2026-08-11T1439Z,german parreño,portero,6,Deportivo,638576,-11662.0,-1.7934971502742,ficha
2026-08-11T1439Z,giacomo quagliata,defensa,6,Deportivo,3289433,8439.0,0.25720863860159,ficha
2026-08-11T1439Z,miguel loureiro,defensa,6,Deportivo,3808845,10942.0,0.28810635763999,ficha
2026-08-11T1439Z,quique teijo,defensa,6,Deportivo,602257,0.0,0.0,ficha
2026-08-11T1439Z,damian canedo,defensa,6,Deportivo,602257,0.0,0.0,ficha
2026-08-11T1439Z,samu fernandez,defensa,6,Deportivo,702633,0.0,0.0,ficha
2026-08-11T1439Z,arnau comas,defensa,6,Deportivo,788890,-18173.0,-2.251744907151,ficha
2026-08-11T1439Z,diego villares,mediocampista,6,Deportivo,2676612,-56313.0,-2.0605395318203,ficha
2026-08-11T1439Z,dani barcia,defensa,6,Deportivo,1423895,-29425.0,-2.0246745382985,ficha
2026-08-11T1439Z,ximo navarro,defensa,6,Deportivo,5442743,-52572.0,-0.95666945388936,ficha
2026-08-11T1439Z,pablo garcia,defensa,6,Deportivo,468964,0.0,0.0,ficha
2026-08-11T1439Z,noe carrillo,mediocampista,6,Deportivo,702633,0.0,0.0,ficha
2026-08-11T1439Z,riki rodriguez,mediocampista,6,Deportivo,1113230,-24628.0,-2.1644177041423,ficha
2026-08-11T1439Z,ruben lopez,mediocampista,6,Deportivo,501880,0.0,0.0,ficha
2026-08-11T1439Z,rayane belaid,delantero,2,Atlético,678006,0.0,0.0,ficha
