observed_at,source,match_id,team_slug,player_name,player_slug,role,minute
2026-08-16T2253Z,futbolfantasy,22429,sevilla,Vlachodimos,odysseas-vlachodimos,starter,
2026-08-16T2253Z,futbolfantasy,22429,sevilla,Iglesias,juan-iglesias,starter,
2026-08-16T2253Z,futbolfantasy,22429,sevilla,Kike Salas,kike-salas,starter,87
2026-08-16T2253Z,futbolfantasy,22429,sevilla,Suazo,gabriel-suazo,starter,
2026-08-16T2253Z,futbolfantasy,22429,sevilla,Oso,joaquin-oso,starter,77
2026-08-16T2253Z,futbolfantasy,22429,sevilla,Sangante,arouna-sangante,starter,
2026-08-16T2253Z,futbolfantasy,22429,sevilla,Guridi,jon-guridi,starter,81
2026-08-16T2253Z,futbolfantasy,22429,sevilla,Agoume,lucien-agoume,starter,
2026-08-16T2253Z,futbolfantasy,22429,sevilla,Guillén,nico-guillen,starter,45
2026-08-16T2253Z,futbolfantasy,22429,sevilla,Sierra,miguel-sierra,starter,69
2026-08-16T2253Z,futbolfantasy,22429,sevilla,Romero,isaac-romero,starter,45
2026-08-16T2253Z,futbolfantasy,22429,sevilla,Rafa,rafael-romero,sub,
2026-08-16T2253Z,futbolfantasy,22429,sevilla,Fran González,fran-gonzalez-2,sub,
2026-08-16T2253Z,futbolfantasy,22429,sevilla,Carmona,jose-ngel-carmona,sub,
2026-08-16T2253Z,futbolfantasy,22429,sevilla,Castrín,andres-castrin,sub,
2026-08-16T2253Z,futbolfantasy,22429,sevilla,Iker Muñoz,iker-munoz-1,sub,
2026-08-16T2253Z,futbolfantasy,22429,sevilla,Julio Díaz,julio-diaz,sub,
2026-08-16T2253Z,futbolfantasy,22429,sevilla,Manu Bueno,manu-bueno,sub,81
2026-08-16T2253Z,futbolfantasy,22429,sevilla,Ejuke,chidera-ejuke,sub,77
2026-08-16T2253Z,futbolfantasy,22429,sevilla,Altozano,edu-altozano,sub,
2026-08-16T2253Z,futbolfantasy,22429,sevilla,Vargas,ruben-vargas,sub,69
2026-08-16T2253Z,futbolfantasy,22429,sevilla,Peque,peque,sub,45
2026-08-16T2253Z,futbolfantasy,22429,sevilla,Ibra,ibrahima-sow,sub,
2026-08-16T2253Z,futbolfantasy,22429,sevilla,Ure,robbie-ure,sub,45
2026-08-16T2253Z,futbolfantasy,22429,rayo-vallecano,Batalla,augusto-batalla,starter,
2026-08-16T2253Z,futbolfantasy,22429,rayo-vallecano,Lejeune,florian-lejeune,starter,
2026-08-16T2253Z,futbolfantasy,22429,rayo-vallecano,Ratiu,andrei-florin,starter,
2026-08-16T2253Z,futbolfantasy,22429,rayo-vallecano,Balliu,ivan-balliu,starter,
2026-08-16T2253Z,futbolfantasy,22429,rayo-vallecano,Álvaro García,alvaro-garcia,starter,69
2026-08-16T2253Z,futbolfantasy,22429,rayo-vallecano,Unai López,unai-lopez,starter,77
2026-08-16T2253Z,futbolfantasy,22429,rayo-vallecano,De Frutos,jorge-de-frutos,starter,
2026-08-16T2253Z,futbolfantasy,22429,rayo-vallecano,Valentín,scar-valentin,starter,77
2026-08-16T2253Z,futbolfantasy,22429,rayo-vallecano,Isi,isi-palazon,starter,63
2026-08-16T2253Z,futbolfantasy,22429,rayo-vallecano,Pathé Ciss,pathe-ciss,starter,
2026-08-16T2253Z,futbolfantasy,22429,rayo-vallecano,Nteka,randy-nteka,starter,64
2026-08-16T2253Z,futbolfantasy,22429,rayo-vallecano,Cárdenas,dani-cardenas,sub,
2026-08-16T2253Z,futbolfantasy,22429,rayo-vallecano,Pelayo,pelayo-fernandez,sub,77
2026-08-16T2253Z,futbolfantasy,22429,rayo-vallecano,Lozano,sergio-jose-lozano,sub,
2026-08-16T2253Z,futbolfantasy,22429,rayo-vallecano,De la Sías,marco-de-la-sias,sub,
2026-08-16T2253Z,futbolfantasy,22429,rayo-vallecano,Vertrouwd,jozhua-vertrouwd,sub,
2026-08-16T2253Z,futbolfantasy,22429,rayo-vallecano,Pedro Díaz,pedro-diaz,sub,77
2026-08-16T2253Z,futbolfantasy,22429,rayo-vallecano,Fran Pérez,fran-perez,sub,69
2026-08-16T2253Z,futbolfantasy,22429,rayo-vallecano,Román,marco-roman,sub,
2026-08-16T2253Z,futbolfantasy,22429,rayo-vallecano,Camello,sergio-camello,sub,63
2026-08-16T2253Z,futbolfantasy,22429,rayo-vallecano,Alemão,alemo,sub,64
2026-08-16T2253Z,futbolfantasy,22429,rayo-vallecano,Iván Alonso,ivan-alonso,sub,
2026-08-17T1014Z,futbolfantasy,22421,alaves,Sivera,antonio-sivera,starter,
2026-08-17T1014Z,futbolfantasy,22421,alaves,Jonny,jonny-castro,starter,
2026-08-17T1014Z,futbolfantasy,22421,alaves,Tenaglia,nahuel-tenaglia,starter,
2026-08-17T1014Z,futbolfantasy,22421,alaves,Ángel Pérez,angel-perez-1,starter,64
2026-08-17T1014Z,futbolfantasy,22421,alaves,Koski,ville-koski,starter,
2026-08-17T1014Z,futbolfantasy,22421,alaves,Denis Suárez,denis-suarez,starter,56
2026-08-17T1014Z,futbolfantasy,22421,alaves,Blanco,antonio-blanco,starter,93
2026-08-17T1014Z,futbolfantasy,22421,alaves,Ibáñez,pablo-ibanez,starter,
2026-08-17T1014Z,futbolfantasy,22421,alaves,Rebbach,abde-rebbach,starter,93
2026-08-17T1014Z,futbolfantasy,22421,alaves,Toni Martinez,antonio-martinez,starter,
2026-08-17T1014Z,futbolfantasy,22421,alaves,Aitor Mañas,aitor-manas,starter,56
2026-08-17T1014Z,futbolfantasy,22421,alaves,Adrián,adrian-rodriguez,sub,
2026-08-17T1014Z,futbolfantasy,22421,alaves,Swiderski,gregoire-swiderski-1,sub,
2026-08-17T1014Z,futbolfantasy,22421,alaves,Novoa,hugo-novoa,sub,
2026-08-17T1014Z,futbolfantasy,22421,alaves,Diarra,moussa-diarra-1,sub,
2026-08-17T1014Z,futbolfantasy,22421,alaves,Youssef,youssef-enriquez,sub,64
2026-08-17T1014Z,futbolfantasy,22421,alaves,Oláiz,xanet-olaiz,sub,
2026-08-17T1014Z,futbolfantasy,22421,alaves,Aleñá,carles-alena,sub,93
2026-08-17T1014Z,futbolfantasy,22421,alaves,Guevara,ander-guevara,sub,93
2026-08-17T1014Z,futbolfantasy,22421,alaves,Protesoni,carlos-benavidez,sub,
2026-08-17T1014Z,futbolfantasy,22421,alaves,Mikel Rodriguez,mikel-rodriguez,sub,56
2026-08-17T1014Z,futbolfantasy,22421,alaves,Mariano,mariano-diaz,sub,56
2026-08-17T1014Z,futbolfantasy,22421,alaves,Boyé,lucas-boye,sub,
2026-08-17T1014Z,futbolfantasy,22421,alaves,Miguel,miguel-rodriguez-1,sub,
2026-08-17T1014Z,futbolfantasy,22421,getafe,Soria,david-soria,starter,
