observed_at,source,team_slug,player_name,player_slug,role,start_pct,status,note
2026-08-11T1439Z,futbolfantasy,betis,Abde Ezzalzouli,abde-ezzalzouli,sub,30,doubt,Esguince de rodilla Desde 07/06 (65 días) Duda para la jornada 2
2026-08-11T1439Z,futbolfantasy,betis,Álvaro Fidalgo,lvaro-fidalgo,sub,30,ok,
2026-08-11T1439Z,futbolfantasy,betis,Ángel Ortiz,ngel-ortiz,sub,30,ok,
2026-08-11T1439Z,futbolfantasy,betis,Giovani Lo Celso,giovani-lo-celso,sub,20,ok,
2026-08-11T1439Z,futbolfantasy,betis,Junior Firpo,junior-firpo,sub,20,ok,
2026-08-11T1439Z,futbolfantasy,betis,Valentín Gómez,valentin-gomez,sub,20,ok,
2026-08-11T1439Z,futbolfantasy,betis,José Antonio Morante,jose-antonio-morante,sub,10,ok,
2026-08-11T1439Z,futbolfantasy,betis,Manu González,manu-gonzalez,sub,5,ok,
2026-08-11T1439Z,futbolfantasy,betis,Iker Losada,iker-losada,sub,0,ok,
2026-08-11T1439Z,futbolfantasy,betis,Gonzalo Petit,gonzalo-petit,sub,0,doubt,Lesión muscular en el muslo Desde 11/08 (1 día) Duda para la jornada 2
2026-08-11T1439Z,futbolfantasy,betis,Aitor Ruibal,aitor-ruibal,sub,0,injured,Operado del menisco Desde 14/05 (89 días) Baja hasta finales de agosto
2026-08-11T1439Z,futbolfantasy,betis,Diego Conde,diego-conde,sub,0,injured,Luxación de hombro Desde 25/07 (17 días) Baja confirmada para la jornada 2
2026-08-11T1439Z,futbolfantasy,celta,Carl Starfelt,carl-starfelt,starter,70,ok,
2026-08-11T1439Z,futbolfantasy,celta,Sergio Carreira,sergio-carreira,starter,70,ok,
2026-08-11T1439Z,futbolfantasy,celta,Ionut Radu,andrei-radu,starter,90,ok,
2026-08-11T1439Z,futbolfantasy,celta,Marcos Alonso,marcos-alonso,starter,90,ok,
2026-08-11T1439Z,futbolfantasy,celta,Aleix Febas,aleix-febas,starter,50,ok,
2026-08-11T1439Z,futbolfantasy,celta,Javi Rodríguez,javi-rodriguez,starter,80,ok,
2026-08-11T1439Z,futbolfantasy,celta,Javi Rueda,javi-rueda,starter,70,ok,
2026-08-11T1439Z,futbolfantasy,celta,Miguel Román,miguel-roman,starter,70,ok,
2026-08-11T1439Z,futbolfantasy,celta,Williot Swedberg,williot-swedberg,starter,50,ok,
2026-08-11T1439Z,futbolfantasy,celta,Hugo González,hugo-gonzalez,starter,50,ok,
2026-08-11T1439Z,futbolfantasy,celta,Ferran Jutglà,ferran-jutgla,starter,80,ok,
2026-08-11T1439Z,futbolfantasy,celta,Hugo Álvarez,hugo-lvarez-,sub,50,ok,
2026-08-11T1439Z,futbolfantasy,celta,Ilaix Moriba,ilaix-moriba,sub,50,ok,
2026-08-11T1439Z,futbolfantasy,celta,Iago Aspas,iago-aspas,sub,40,ok,
2026-08-11T1439Z,futbolfantasy,celta,Javi Galán,javi-galan,sub,30,doubt,Lesión en el recto femoral Desde 21/07 (21 días) Duda para la jornada 1
2026-08-11T1439Z,futbolfantasy,celta,Yoel Lago,yoel-lago,sub,30,ok,
2026-08-11T1439Z,futbolfantasy,celta,Álvaro Núñez,lvaro-nunez,sub,30,ok,
2026-08-11T1439Z,futbolfantasy,celta,Abdoulaye Faye,abdoulaye-faye,sub,20,ok,
2026-08-11T1439Z,futbolfantasy,celta,Matías Vecino,matias-vecino,sub,20,doubt,Molestias en la rodilla Desde 06/08 (5 días) Duda para la jornada 1
2026-08-11T1439Z,futbolfantasy,celta,Manu Fernández,manu-fernandez-1,sub,20,ok,
2026-08-11T1439Z,futbolfantasy,celta,Jones El-Abdellaoui,jones-el-abdellaoui,sub,10,doubt,Indisposición Desde 05/08 (6 días) Disponible para la jornada 1
2026-08-11T1439Z,futbolfantasy,celta,Altay Bayindir,altay-bayindir,sub,10,ok,
2026-08-11T1439Z,futbolfantasy,celta,Borja Iglesias,borja-iglesias,sub,10,ok,
2026-08-11T1439Z,futbolfantasy,celta,Pablo Durán,pablo-duran,sub,10,doubt,Operado del hombro Desde 26/05 (77 días) Baja hasta finales de agosto
2026-08-11T1439Z,futbolfantasy,celta,Carles Pérez,carles-perez,sub,0,ok,
2026-08-11T1439Z,futbolfantasy,celta,Iván Villar,ivan-villar,sub,0,ok,
2026-08-11T1439Z,futbolfantasy,deportivo,Lorenzo Amatucci,lorenzo-amatucci,starter,70,ok,
2026-08-11T1439Z,futbolfantasy,deportivo,Leo Román,leo-roman,starter,80,ok,
2026-08-11T1439Z,futbolfantasy,deportivo,Pierre-Emerick Aubameyang,pierre-emerick-aubameyang,starter,70,ok,
2026-08-11T1439Z,futbolfantasy,deportivo,Ximo Navarro,ximo-navarro,starter,70,ok,
2026-08-11T1439Z,futbolfantasy,deportivo,Bright Ede,bright-ede,starter,50,ok,
2026-08-11T1439Z,futbolfantasy,deportivo,Mario Soriano,mario-soriano,starter,80,ok,
2026-08-11T1439Z,futbolfantasy,deportivo,Lucas Noubi,lucas-noubi,starter,80,ok,
2026-08-11T1439Z,futbolfantasy,deportivo,Giacomo Quagliata,giacomo-quagliata,starter,50,ok,
2026-08-11T1439Z,futbolfantasy,deportivo,Luismi Cruz,luismi-cruz,starter,70,ok,
2026-08-11T1439Z,futbolfantasy,deportivo,Bil Nsongo,bil-nsongo,starter,50,ok,
2026-08-11T1439Z,futbolfantasy,deportivo,Adrià Altimira,adria-altimira,starter,50,ok,
2026-08-11T1439Z,futbolfantasy,deportivo,Angeliño,angelino,sub,50,ok,
2026-08-11T1439Z,futbolfantasy,deportivo,Miguel Loureiro,miguel-loureiro,sub,50,ok,
2026-08-11T1439Z,futbolfantasy,deportivo,Jonathan Asp Jensen,jonathan-asp-jensen,sub,40,ok,
2026-08-11T1439Z,futbolfantasy,deportivo,Diego Villares,diego-villares,sub,40,ok,
2026-08-11T1439Z,futbolfantasy,deportivo,Yeremay Hernández,yeremay-hernandez,sub,40,doubt,Pubalgia Desde 08/07 (34 días) Disponible para la jornada 1
2026-08-11T1439Z,futbolfantasy,deportivo,David Mella,david-mella,sub,30,ok,
2026-08-11T1439Z,futbolfantasy,deportivo,Zakaria Eddahchouri,zakaria-eddahchouri,sub,30,ok,
2026-08-11T1439Z,futbolfantasy,deportivo,Teun Gijselhart,teun-gijselhart,sub,30,ok,
2026-08-11T1439Z,futbolfantasy,deportivo,Dani Barcia,dani-barcia,sub,20,ok,
2026-08-11T1439Z,futbolfantasy,deportivo,Arnau Comas,arnau-comas,sub,20,ok,
2026-08-11T1439Z,futbolfantasy,deportivo,Álvaro Fernández,alvaro-fernandez,sub,20,ok,
2026-08-11T1439Z,futbolfantasy,deportivo,Kevin Sánchez,kevin-sanchez,sub,10,ok,
2026-08-11T1439Z,futbolfantasy,deportivo,Noé Carrillo,noe-carrillo,sub,0,ok,
2026-08-11T1439Z,futbolfantasy,deportivo,José Ángel Jurado,jose-angel-jurado,sub,0,ok,
2026-08-11T1439Z,futbolfantasy,deportivo,Riki Rodríguez,riki-rodriguez,sub,0,ok,
2026-08-11T1439Z,futbolfantasy,deportivo,Charlie Patino,charlie-patino,sub,0,ok,
2026-08-11T1439Z,futbolfantasy,deportivo,Eric Puerto,eric-puerto,sub,0,ok,
2026-08-11T1439Z,futbolfantasy,deportivo,Germán Parreño,german-parreno,sub,0,ok,
2026-08-11T1439Z,futbolfantasy,elche,Gonzalo Villar,gonzalo-villar,starter,80,ok,
2026-08-11T1439Z,futbolfantasy,elche,David Affengruber,david-affengruber,starter,90,ok,
2026-08-11T1439Z,futbolfantasy,elche,Buba Sangaré,buba-sangare,starter,70,ok,
2026-08-11T1439Z,futbolfantasy,elche,Lucas Cepeda,lucas-cepeda,starter,60,ok,
2026-08-11T1439Z,futbolfantasy,elche,Germán Valera,german-valera,starter,90,ok,
2026-08-11T1439Z,futbolfantasy,elche,Pedro Bigas,pedro-bigas,starter,50,doubt,Molestias sin determinar Desde 20/07 (22 días) Disponible para la jornada 1
2026-08-11T1439Z,futbolfantasy,elche,Marc Aguado,marc-aguado,starter,70,ok,
2026-08-11T1439Z,futbolfantasy,elche,Grady Diangana,grady-diangana,starter,50,doubt,Molestias en la rodilla Desde 08/08 (3 días) Duda para la jornada 1
2026-08-11T1439Z,futbolfantasy,elche,Matías Dituro,matias-dituro,starter,90,ok,
2026-08-11T1439Z,futbolfantasy,elche,Fernando Niño,fernando-nino,starter,60,ok,
2026-08-11T1439Z,futbolfantasy,elche,Víctor Chust,victor-chust,starter,80,ok,
2026-08-11T1439Z,futbolfantasy,elche,Federico Redondo,federico-redondo,sub,50,ok,
2026-08-11T1439Z,futbolfantasy,elche,Martim Neto,martim-neto,sub,50,ok,
2026-08-11T1439Z,futbolfantasy,elche,Ali Houary,-ali-houary,sub,40,ok,
2026-08-11T1439Z,futbolfantasy,elche,Tete Morente,tete-morente,sub,40,ok,
2026-08-11T1439Z,futbolfantasy,elche,Adam Boayar,adam-boayar,sub,30,doubt,Lesión en el cuádriceps Desde 13/03 (151 días) Disponible para la jornada 1
2026-08-11T1439Z,futbolfantasy,elche,Facundo Buonanotte,facundo-buonanotte,sub,30,ok,
2026-08-11T1439Z,futbolfantasy,elche,Umaru Konaré,umaru-konare,sub,30,ok,
2026-08-11T1439Z,futbolfantasy,elche,John Chetauya,john-nwankwo,sub,20,doubt,Molestias sin determinar Desde 31/07 (11 días) Disponible para la jornada 1
2026-08-11T1439Z,futbolfantasy,elche,Javi Morcillo,javi-morcillo,sub,10,ok,
2026-08-11T1439Z,futbolfantasy,elche,Alejandro Iturbe,alejandro-iturbe,sub,10,ok,
2026-08-11T1439Z,futbolfantasy,elche,Rafa Núñez,rafa-nunez,sub,0,ok,
2026-08-11T1439Z,futbolfantasy,elche,Abiel Osorio,abiel-osorio,sub,0,ok,
2026-08-11T1439Z,futbolfantasy,elche,Yago Santiago,yago-santiago,sub,0,doubt,Sometido a artroscopia en la rodilla Desde 15/04 (118 días) Baja hasta julio
2026-08-11T1439Z,futbolfantasy,elche,Bambo Diaby,bambo-diaby,sub,0,ok,
2026-08-11T1439Z,futbolfantasy,elche,Matia Barzic,matia-barzic,sub,0,ok,
2026-08-11T1439Z,futbolfantasy,elche,Owen Bosch,-owen-bosch,absent,,doubt,Molestias sin determinar Desde 17/07 (25 días) Disponible para la jornada 1
2026-08-11T1439Z,futbolfantasy,espanyol,Álex Calatrava,lex-calatrava,starter,70,ok,
2026-08-11T1439Z,futbolfantasy,espanyol,Omar El Hilali,omar-el-hilali,starter,80,ok,
2026-08-11T1439Z,futbolfantasy,espanyol,Roger Hinojo,roger-hinojo,starter,50,ok,
2026-08-11T1439Z,futbolfantasy,espanyol,Leandro Cabrera,leandro-cabrera,starter,95,ok,
