observed_at,source,team_id,player_id,player_name,player_name_full,position_id,market_value,player_status
2026-09-12T1543Z,laliga,17,3138,Sangante,,2,9253842,suspended
2026-09-12T1543Z,laliga,49,3139,Pedro Felipe,,2,1221560,ok
2026-09-12T1543Z,laliga,26,3142,Angeliño,,2,9111180,ok
2026-09-12T1543Z,laliga,14,3146,Kumbulla,,2,2413420,ok
2026-09-12T1543Z,laliga,26,3149,Bright Ede,,2,4300704,ok
2026-09-12T1543Z,laliga,9,3150,Mojica,,2,15779312,ok
2026-09-12T1543Z,laliga,2,3155,Grimaldo,,2,32078336,ok
2026-09-12T1543Z,laliga,21,3156,Valentini,,2,681074,ok
2026-09-12T1543Z,laliga,14,3157,Pelayo,,2,671382,ok
2026-09-12T1543Z,laliga,21,3158,Diarra,,2,1006795,out_of_league
2026-09-12T1543Z,laliga,21,3159,Novoa,,2,579718,ok
2026-09-12T1543Z,laliga,8,3162,Hinojo,,2,4786741,ok
2026-09-12T1543Z,laliga,11,3165,Marc Santos,,2,576211,ok
2026-09-12T1543Z,laliga,8,3170,Timera,,2,499241,ok
2026-09-12T1543Z,laliga,8,3172,Jose Angel,,2,499241,ok
2026-09-12T1543Z,laliga,11,3174,Mandi,,2,12421906,ok
2026-09-12T1543Z,laliga,8,3177,Vanja Drkusic,,2,2067510,ok
2026-09-12T1543Z,laliga,14,3178,Lozano,,2,499241,ok
2026-09-12T1543Z,laliga,3,3184,H. Rincón,,2,1703590,ok
2026-09-12T1543Z,laliga,7,3189,Barzic,,2,541561,ok
2026-09-12T1543Z,laliga,6,3195,Faye,,2,2202180,ok
2026-09-12T1543Z,laliga,2,3197,Cuti Romero,,2,31520212,ok
2026-09-12T1543Z,laliga,18,3206,Maffeo,,2,6985888,ok
2026-09-12T1543Z,laliga,3,3213,Johaneko,,2,1202692,ok
2026-09-12T1543Z,laliga,18,3215,Córdoba,,2,900000,out_of_league
2026-09-12T1543Z,laliga,9,3218,Curro ,,2,600000,out_of_league
2026-09-12T1543Z,laliga,15,3221,Mario Rivas,,2,700000,out_of_league
2026-09-12T1543Z,laliga,4,3223,Cortés,,2,700000,out_of_league
2026-09-12T1543Z,laliga,4,3226,Jordi Pesquer,,2,600000,out_of_league
2026-09-12T1543Z,laliga,11,3227,Ifeanyi Ndukwe,,2,1641900,ok
2026-09-12T1543Z,laliga,18,3236,Arnau,,2,11098734,ok
2026-09-12T1543Z,laliga,16,3238,M. Sarr,,2,11687436,ok
2026-09-12T1543Z,laliga,6,3241,Ribes,,2,600000,out_of_league
2026-09-12T1543Z,laliga,13,3243,Rockson,,2,935016,ok
2026-09-12T1543Z,laliga,11,3246,Axel Tape,,2,2165779,ok
