player_id,name,club_id,ff_slug,af_slug,app_id,understat_id,app_names
2759,carles aleña,alaves,carles-alena,143,,5058,
2771,alex grimaldo,atletico,alex-grimaldo,563,,11866,
2799,carlos soler,real sociedad,carlos-soler,930,,2478,
2802,igor zubeldia,real sociedad,igor-zubeldia,,265,2417,Zubeldia
2807,alvaro odriozola,real sociedad,alvaro-odriozola,,,2418,
3106,peter gulacsi,villarreal,peter-gulacsi,,3130,,Gulácsi
3174,einar galilea,malaga,einar-galilea,14470,,14726,
3178,kiko femenia,getafe,kiko-femenia,18794,2774,5043,Kiko F.
3204,alex berenguer,athletic,alex-berenguer,30510,927,5091,Berenguer
3206,kike barja,osasuna,kike-barja,,,5140,
3215,marc roca,betis,marc-roca,47341,2418,5086,Marc Roca
322,marc bartra,betis,marc-bartra,1561,121,2453,Bartra
3226,mariano diaz,alaves,mariano-diaz,,,5110,
3235,diego rico,osasuna,diego-rico,,,,
3255,ivan villar,celta,ivan-villar,,,,
336,isco alarcon,betis,isco-alarcon,,,2255,
340,juanmi jimenez,getafe,juanmi-jimenez,,,897,
3414,pierre-emerick aubameyang,deportivo,pierre-emerick-aubameyang,,3108,318,Aubameyang
3427,thomas lemar,atletico,thomas-lemar,,,,
3429,kylian mbappe,real madrid,kylian-mbappe,278,,,
3431,bernardo silva,real madrid,bernardo-silva,636,,3635,
3605,angeliño,deportivo,angelino,,3142,,Angeliño
3607,mouctar diakhaby,valencia,mouctar-diakhaby,,,5666,
3612,alvaro fernandez,deportivo,alvaro-fernandez,,2975,,A. Ferllo
3623,pedro diaz,rayo,pedro-diaz,46887,2385,12863,Pedro Díaz
3671,asier villalibre,racing,asier-villalibre,,3022,5173,Villalibre
3686,alvaro valles,betis,alvaro-valles,46990,,11740,
3693,unai simon,athletic,unai-simon,47270,,5185,
3717,giovani lo celso,betis,giovani-lo-celso,,,5681,
3732,daniel raba,valencia,daniel-raba,,2560,5199,Raba
3736,jon guridi,sevilla,jon-guridi,104821,,5179,
3738,edu exposito,espanyol,edu-exposito,46799,,5081,
3751,enes unal,getafe,enes-unal,47499,,6219,
3758,federico valverde,real madrid,federico-valverde,,,6241,
3759,marko dmitrovic,espanyol,marko-dmitrovic,,2507,6224,Dmitrovic
3785,unai nuñez,espanyol,unai-nunez,47277,,6149,
3799,andoni gorosabel,athletic,andoni-gorosabel,,,6325,
3802,ander guevara,alaves,ander-guevara,,,6126,
3807,javi puado,espanyol,javi-puado,,2516,6933,Puado
3836,manu hernando,racing,manu-hernando,165713,,14692,
3879,pol lozano,espanyol,pol-lozano,,,7916,
3881,dakonam djene,getafe,dakonam-djene,,,6151,
392,ximo navarro,deportivo,ximo-navarro,47360,,4052,
404,pedro bigas,elche,pedro-bigas,,2294,2353,R.P. Bigas
4208,marcao,sevilla,marcao,,2449,10999,Marcao
4288,raphinha,barcelona,raphinha,1496,2522,8026,Raphinha
4397,marcos alonso,celta,marcos-alonso,2278,3123,1621,Marcos Alonso
44,iñigo ruiz de galarreta,athletic,inigo-ruiz-de-galarreta,,1070,9755,De Galarreta
4434,ademola lookman,atletico,ademola-lookman,,,5556,
4480,trent alexander-arnold,real madrid,trent-alexander-arnold,,2531,1791,Trent
4511,ayoze perez,villarreal,ayoze-perez,18906,2504,770,Ayoze
4620,junior firpo,betis,junior-firpo,,,6485,
4705,juan foyth,villarreal,juan-foyth,166,2470,6306,Foyth
4884,ibrahima konate,real madrid,ibrahima-konate,,,6326,
4976,jeremy toljan,levante,jeremy-toljan,,,257,
5013,marc cucurella,real madrid,marc-cucurella,,,7134,
5019,hugo duro,valencia,hugo-duro,47264,1191,6637,Hugo Duro
5022,bambo diaby,elche,bambo-diaby,,3115,13843,Diaby
5032,toni martinez,alaves,antonio-martinez,47181,,,
5035,brahim diaz,real madrid,brahim-diaz,744,2431,6421,Brahim
5051,aitor ruibal,betis,aitor-ruibal,,,6427,
5080,cristian rivero,valencia,cristian-rivero,,,,
5083,abdel abqar,getafe,abdel-abqar,46813,2776,,A. Abqar
5124,lucas boye,alaves,lucas-boye,608,2768,1189,Lucas Boyé
5134,alexander sorloth,atletico,alexander-sorloth,,,,
5194,grady diangana,elche,grady-diangana,,,6651,
5220,miguel angel rubio,espanyol,miguel-ngel-rubio,,,6740,
5227,gonzalo villar,elche,gonzalo-villar,46982,,6750,
5245,dani vivian,athletic,dani-vivian,,2314,6766,Vivian
5313,matias vecino,celta,matias-vecino,,2945,1423,Vecino
5526,andriy lunin,real madrid,andriy-lunin,,2423,7194,Lunin
5546,cucho hernandez,betis,cucho-hernandez,47582,,,
5549,santi comesaña,villarreal,santi-comesana,47541,1031,,Comesaña
5553,fernando calero,malaga,fernando-calero,47478,2398,,F. Calero
5565,vinicius junior,real madrid,vinicius-junior,,,7008,
5587,adria pedrosa,sevilla,adria-pedrosa,,,,
5671,juan berrocal,getafe,juan-berrocal,,,,
5705,luiz felipe,rayo,luiz-felipe,,,6177,
582,leandro cabrera,espanyol,leandro-cabrera,,3068,6168,Cabrera
5859,gorka guruzeta,athletic,gorka-guruzeta,,1484,7020,Guruzeta
59,thibaut courtois,real madrid,thibaut-courtois,,,680,
5942,juan musso,atletico,juan-musso,,2321,7095,J. Musso
5978,ionut radu,celta,andrei-radu,30765,2713,1830,Ionut Radu
5995,david hancko,atletico,david-hancko,,,7086,
6002,robin le normand,atletico,robin-le-normand,47301,255,7276,Le Normand
6050,joaquin muñoz,malaga,joaquin-munoz,60,3034,7258,Joaquín
6055,denzel dumfries,real madrid,denzel-dumfries,,,9840,
6062,eder militao,real madrid,der-milito,,2426,7829,E. Militão
6158,ferland mendy,real madrid,ferland-mendy,,,6233,
6174,arnaut danjuma,valencia,arnaut-danjuma,83,,,
