observed_at,season,player_name,player_name_full,team,points,games,avg
2026-08-11T1439Z,2025-26,Bryan,Bryan Zaragoza,Celta,91,19,4.790
2026-08-11T1439Z,2025-26,Swedberg,Williot Swedberg,Celta,133,29,4.590
2026-08-11T1439Z,2025-26,Marc Vidal,Marc Vidal,Celta,0,0,0.000
2026-08-11T1439Z,2025-26,Ristic,Mihailo Ristic,Celta,15,5,3.000
2026-08-11T1439Z,2025-26,Durán,Pablo Durán,Celta,98,30,3.270
2026-08-11T1439Z,2025-26,Javi Rodríguez,Javi Rodríguez,Celta,132,33,4.000
2026-08-11T1439Z,2025-26,Rueda,Javi Rueda,Celta,132,26,5.080
2026-08-11T1439Z,2025-26,Lago,Yoel Lago,Celta,44,12,3.670
2026-08-11T1439Z,2025-26,Román,Miguel Román,Celta,92,19,4.840
2026-08-11T1439Z,2025-26,El-Abdellaoui,Jones El-Abdellaoui,Celta,55,22,2.500
2026-08-11T1439Z,2025-26,Manu Fernández,Manu Fernández,Celta,42,14,3.000
2026-08-11T1439Z,2025-26,Damián,Damián Rodríguez,Celta,4,2,2.000
2026-08-11T1439Z,2025-26,Starfelt,Carl Starfelt,Celta,106,19,5.580
2026-08-11T1439Z,2025-26,Cervi,Franco Cervi,Celta,0,0,0.000
2026-08-11T1439Z,2025-26,Aidoo,Joseph Aidoo,Celta,26,8,3.250
2026-08-11T1439Z,2025-26,Arcos,Ángel Arcos,Celta,0,0,0.000
2026-08-11T1439Z,2025-26,Hugo González,Hugo González,Celta,2,1,2.000
2026-08-11T1439Z,2025-26,Burcio,Hugo Burcio,Celta,0,1,0.000
2026-08-11T1439Z,2025-26,Fer López,Fer López,Celta,71,17,4.180
2026-08-11T1439Z,2025-26,Vecino,Matías Vecino,Celta,11,6,1.830
2026-08-11T1439Z,2025-26,Antañón,Andrés Antañón,Celta,1,2,0.500
2026-08-11T1439Z,2025-26,Cabrera,Leandro Cabrera,Espanyol,162,37,4.380
2026-08-11T1439Z,2025-26,Pere Milla,Pere Milla,Espanyol,146,33,4.420
2026-08-11T1439Z,2025-26,Kike García,Kike García,Espanyol,139,37,3.760
2026-08-11T1439Z,2025-26,Edu Expósito,Edu Expósito,Espanyol,202,36,5.610
2026-08-11T1439Z,2025-26,Dmitrovic,Marko Dmitrovic,Espanyol,222,37,6.000
2026-08-11T1439Z,2025-26,Puado,Javi Puado,Espanyol,42,10,4.200
2026-08-11T1439Z,2025-26,Lozano,Pol Lozano,Espanyol,97,33,2.940
2026-08-11T1439Z,2025-26,Miguel Rubio,Miguel Ángel Rubio,Espanyol,29,12,2.420
2026-08-11T1439Z,2025-26,Calero,Fernando Calero,Espanyol,121,28,4.320
2026-08-11T1439Z,2025-26,Salinas,José Salinas,Espanyol,6,11,0.550
2026-08-11T1439Z,2025-26,Terrats,Ramón Terrats,Espanyol,87,29,3.000
2026-08-11T1439Z,2025-26,Pablo Ramón,Pablo Ramón,Espanyol,0,0,0.000
2026-08-11T1439Z,2025-26,Rubén Sánchez,Rubén Sánchez,Espanyol,68,21,3.240
2026-08-11T1439Z,2025-26,Jofre,Jofre Carreras,Espanyol,65,26,2.500
2026-08-11T1439Z,2025-26,Roberto,Roberto Fernández,Espanyol,151,38,3.970
2026-08-11T1439Z,2025-26,Fortuño,Ángel Fortuño,Espanyol,7,1,7.000
2026-08-11T1439Z,2025-26,El Hilali,Omar El Hilali,Espanyol,101,36,2.810
2026-08-11T1439Z,2025-26,Romero,Carlos Romero,Espanyol,196,36,5.440
2026-08-11T1439Z,2025-26,Pol Tristan,Pol Tristan,Espanyol,0,0,0.000
2026-08-11T1439Z,2025-26,Bauzà,Rafel Bauzà,Espanyol,0,0,0.000
2026-08-11T1439Z,2025-26,Roca,Antoniu Roca,Espanyol,22,13,1.690
2026-08-11T1439Z,2025-26,Hinojo,Roger Hinojo,Espanyol,0,0,0.000
2026-08-11T1439Z,2025-26,Dolan,Tyrhys Dolan,Espanyol,152,36,4.220
2026-08-11T1439Z,2025-26,Koleosho,Luca Koleosho,Espanyol,9,3,3.000
2026-08-11T1439Z,2025-26,Pickel,Charles Pickel,Espanyol,47,24,1.960
2026-08-11T1439Z,2025-26,Riedel,Clemens Riedel,Espanyol,76,20,3.800
2026-08-11T1439Z,2025-26,Javier Hernández,Javier Hernández,Espanyol,0,0,0.000
2026-08-11T1439Z,2025-26,Serred,Llorenç Serred,Espanyol,0,0,0.000
2026-08-11T1439Z,2025-26,Ferran,Ferran Gómez,Espanyol,0,0,0.000
2026-08-11T1439Z,2025-26,Ngongé,Cyril Ngongé,Espanyol,33,9,3.670
2026-08-11T1439Z,2025-26,Timera,Adama Timera,Espanyol,0,0,0.000
2026-08-11T1439Z,2025-26,Londoño,Miguel Londoño,Espanyol,0,0,0.000
2026-08-11T1439Z,2025-26,Castell,Lluc Castell,Espanyol,0,1,0.000
2026-08-11T1439Z,2025-26,Almansa,Alex Almansa,Espanyol,0,0,0.000
2026-08-11T1439Z,2025-26,Soria,David Soria,Getafe,249,38,6.550
2026-08-11T1439Z,2025-26,Diego Rico,Diego Rico,Getafe,76,28,2.710
2026-08-11T1439Z,2025-26,Álex Sola,Álex Sola,Getafe,1,1,1.000
2026-08-11T1439Z,2025-26,Djené,Dakonam Djené,Getafe,142,34,4.180
2026-08-11T1439Z,2025-26,Arambarri,Mauro Arambarri,Getafe,190,37,5.140
2026-08-11T1439Z,2025-26,Luis Milla,Luis Milla,Getafe,260,37,7.030
2026-08-11T1439Z,2025-26,Iglesias,Juan Iglesias,Getafe,161,37,4.350
2026-08-11T1439Z,2025-26,Peter,Peter González,Getafe,0,0,0.000
2026-08-11T1439Z,2025-26,Mario Martín,Mario Martín,Getafe,90,35,2.570
2026-08-11T1439Z,2025-26,Joselu,Joselu Pérez,Getafe,3,2,1.500
2026-08-11T1439Z,2025-26,Liso,Adrián Liso,Getafe,83,28,2.960
2026-08-11T1439Z,2025-26,Risco,Alberto Risco,Getafe,0,0,0.000
2026-08-11T1439Z,2025-26,Uche,Christantus Uche,Getafe,20,3,6.670
2026-08-11T1439Z,2025-26,Bekhoucha,Ismael Bekhoucha,Getafe,13,4,3.250
2026-08-11T1439Z,2025-26,Letácek,Jiri Letácek,Getafe,0,0,0.000
2026-08-11T1439Z,2025-26,Coba,Coba Gomes,Getafe,27,14,1.930
2026-08-11T1439Z,2025-26,Davinchi,Davinchi,Getafe,27,14,1.930
2026-08-11T1439Z,2025-26,Vilaplana,Marc Vilaplana,Getafe,0,0,0.000
2026-08-11T1439Z,2025-26,Mayoral,Borja Mayoral,Getafe,71,16,4.440
2026-08-11T1439Z,2025-26,D. Duarte,Domingos Duarte,Getafe,181,34,5.320
2026-08-11T1439Z,2025-26,Femenia,Kiko Femenia,Getafe,113,28,4.040
2026-08-11T1439Z,2025-26,Abqar,Abdel Abqar,Getafe,83,23,3.610
2026-08-11T1439Z,2025-26,Kamara,Abu Kamara,Getafe,21,12,1.750
2026-08-11T1439Z,2025-26,Neyou,Yvan Neyou,Getafe,4,5,0.800
2026-08-11T1439Z,2025-26,Nyom,Allan Nyom,Getafe,30,15,2.000
2026-08-11T1439Z,2025-26,Javi Muñoz,Javi Muñoz,Getafe,37,17,2.180
2026-08-11T1439Z,2025-26,Sancris,Álex Sancris,Getafe,40,18,2.220
2026-08-11T1439Z,2025-26,Aleksandrov,Mykyta Aleksandrov,Getafe,0,0,0.000
2026-08-11T1439Z,2025-26,Juanmi,Juanmi Jiménez,Getafe,18,8,2.250
2026-08-11T1439Z,2025-26,Benito,Jorge Benito,Getafe,0,0,0.000
2026-08-11T1439Z,2025-26,Ferrer,Diego Ferrer,Getafe,0,0,0.000
2026-08-11T1439Z,2025-26,Laso,Lucas Laso,Getafe,0,0,0.000
2026-08-11T1439Z,2025-26,Yassin,Yassin Tallal,Getafe,0,0,0.000
2026-08-11T1439Z,2025-26,Solozábal,Hugo Solozábal,Getafe,0,1,0.000
2026-08-11T1439Z,2025-26,Montes,Jorge Montes,Getafe,5,1,5.000
2026-08-11T1439Z,2025-26,Mestanza,Alejandro Mestanza,Getafe,0,3,0.000
2026-08-11T1439Z,2025-26,A. Riquelme,Adrián Riquelme,Getafe,0,0,0.000
2026-08-11T1439Z,2025-26,Satriano,Martín Satriano,Getafe,107,18,5.940
2026-08-11T1439Z,2025-26,Romero,Zaid Romero,Getafe,119,15,7.930
