player_name,player_name_full,team,points,games,avg,ff_id,season,observed_at,source_url
Nyom,Allan Nyom,Getafe,30,15,2.000,267,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Javi Muñoz,Javi Muñoz,Getafe,37,17,2.180,1981,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Sancris,Álex Sancris,Getafe,40,18,2.220,11766,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Aleksandrov,Mykyta Aleksandrov,Getafe,0,0,0.000,16166,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Juanmi,Juanmi Jiménez,Getafe,18,8,2.250,340,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Benito,Jorge Benito,Getafe,0,0,0.000,11714,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Ferrer,Diego Ferrer,Getafe,0,0,0.000,13876,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Laso,Lucas Laso,Getafe,0,0,0.000,16789,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Yassin,Yassin Tallal,Getafe,0,0,0.000,12975,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Solozábal,Hugo Solozábal,Getafe,0,1,0.000,14018,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Montes,Jorge Montes,Getafe,5,1,5.000,16917,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Mestanza,Alejandro Mestanza,Getafe,0,3,0.000,17118,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
A. Riquelme,Adrián Riquelme,Getafe,0,0,0.000,17145,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Satriano,Martín Satriano,Getafe,107,18,5.940,8496,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Romero,Zaid Romero,Getafe,119,15,7.930,14210,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Luis Vázquez,Luis Vázquez,Getafe,78,17,4.590,14452,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
